"회사명","제목","공고링크","지역","경력","학력","마감일","고용형태","연봉정보"
"NH농협은행(주)","NH농협은행 양주시청(출) 파트타이머(사무지원직) 채용공고","https://www.saramin.co.krundefined","경기 양주시","경력무관 · 계약직","학력무관","D-5","신입","면접 후 협의"
"NH농협은행(주)","NH농협은행 소비자보호부 일반계약직(비서) 채용","https://www.saramin.co.krundefined","서울 중구","경력무관 · 계약직","학력무관","D-6","신입","면접 후 협의"
"미래에셋자산운용(주)","투자풀운용부문 투자풀사업팀 정규직 전환형 인턴사원(신입)","https://www.saramin.co.krundefined","서울 종로구","신입 · 정규직 외","대학교(4년)↑","~01.01(수)","신입","면접 후 협의"
"제이티인터내셔널코리아(주)","Strategic Insights Trainee","https://www.saramin.co.krundefined","서울 종로구","경력무관 · 인턴직","대학교(4년)↑","D-4","신입","면접 후 협의"
"국립공원공단","지리산국립공원전남사무소 기간제(환경관리) 직원 채용","https://www.saramin.co.krundefined","전남 구례군","경력무관 · 계약직","학력무관","D-5","신입","면접 후 협의"
"미래에셋자산운용(주)","주택도시기금운용부문 채권투자팀 정규직 전환형 인턴사원(신입)","https://www.saramin.co.krundefined","서울 종로구","신입 · 정규직 외","대학교(4년)↑","~01.01(수)","신입","면접 후 협의"
"안동시시설관리공단","2025년도 상반기 체험형 청년인턴 채용 공고","https://www.saramin.co.krundefined","경북 안동시","경력무관 · 인턴직","학력무관","D-5","신입","면접 후 협의"
"(주)퍼슨","㈜퍼슨 의약품 생산(제조/포장) 신입, 경력 채용","https://www.saramin.co.krundefined","충남 천안시 서북구","경력무관 · 정규직","고졸↑","채용시","신입","면접 후 협의"
"국립공원공단","[변산반도] 2025년 변산반도국립공원 기간제(수익시설관리) 채용","https://www.saramin.co.krundefined","전북 부안군","경력무관 · 계약직","학력무관","D-6","신입","면접 후 협의"
"한국화학연구원부설안전성평가연구소","제2024-6차 계약직(사업계약직) 공개채용 채용공고","https://www.saramin.co.krundefined","대전 유성구","경력무관 · 계약직","대학(2,3년)↑","D-4","신입","면접 후 협의"
"미래에셋자산운용(주)","[미래에셋자산운용]주식운용부문 리서치본부 정규직 전환형 인턴","https://www.saramin.co.krundefined","서울 종로구","신입 · 정규직 외","대학교(4년)↑","D-7","신입","면접 후 협의"
"우정사업본부","제5회 광양우체국 상시계약집배원(농어촌소포배달원) 채용","https://www.saramin.co.krundefined","전남 광양시","경력무관 · 정규직 외","학력무관","~12.31(화)","신입","면접 후 협의"
"(재)안산환경재단","직원(기간제근로자) 공개모집 공고(운영 관리)","https://www.saramin.co.krundefined","경기 안산시 상록구","경력무관 · 계약직","학력무관","~01.02(목)","신입","면접 후 협의"
"넥스틸(주)","넥스틸(주) 총무팀 사무직 채용 (소방,시설물)","https://www.saramin.co.krundefined","경북 포항시 남구","경력무관 · 정규직","대학교(4년)↑","~01.17(금)","신입","4,000 만원"
"(주)컴포즈커피","(주)컴포즈커피 전라센터 슈퍼바이저 신입 및 경력 채용","https://www.saramin.co.krundefined","광주 서구","경력무관 · 정규직","대학(2,3년)↑","~01.17(금)","신입","면접 후 협의"
