회사명,설립일,대표자명,업종,재무정보,기업주소
도쿄일렉트론코리아(주),2006년 02월 14일                                (업력 19년차),원제형,반도체 제조용 기계 제조업,매출액 1.1조 영업이익 711.3억 (2024년 기준) 전체),경기 화성시 장안면 장안공단6길 51
(주)아이센스,2000년 05월 04일                                (업력 25년차),차근식/남학현,전기식 진단 및 요법 기기 제조업,-,서울 서초구 반포대로28길 43
(주)에이젝코리아,2006년 10월 31일                                (업력 19년차),손윤철,사업시설 유지ㆍ관리 서비스업,매출액 168.1억 영업이익 26.2억 (2023년 기준) 전체),"서울 중구 소월로 10, 9층"
(주)뉴파워프라즈마,1999년 10월 07일                                (업력 26년차),양재영,반도체 제조용 기계 제조업,-,경기 수원시 권선구 산업로155번길 214
(주)희림종합건축사사무소,1989년 11월 28일                                (업력 36년차),정영균/이목운/허철호,건축설계 및 관련 서비스업,-,서울 강동구 상일로6길 39
(주)메디트,2000년 04월 07일                                (업력 25년차),이기원,기타 주변기기 제조업,"매출액 1,261억 영업이익 - 331.1억 (2023년 기준) 전체)","서울 영등포구 양평로25길 8, 3층, 9층, 10층, 13층, 14층, 16층"
(주)싸이맥스,2005년 12월 02일                                (업력 20년차),정혜은/정광영/정구용,반도체 제조용 기계 제조업,-,경기 화성시 동탄산단2길 47
(주)무신사,2012년 06월 25일                                (업력 13년차),박준모/조만호,통신 판매업,"매출액 8,829.6억 영업이익 370.9억 (2023년 기준) 전체)",경기 화성시 동탄산단2길 47
와우프레스(주),2012년 09월 03일                                (업력 13년차),김경환,기타 인쇄업,매출액 404.2억 영업이익 20.3억 (2023년 기준) 전체),"서울 성동구 아차산로13길 11, 1층 (성수동2가,무신사캠퍼스 엔1)"
(주)비바리퍼블리카,2013년 04월 23일                                (업력 12년차),이승건,그 외 기타 금융 지원 서비스업,"매출액 3,361.7억 영업이익 - 1,085.5억 (2023년 기준) 전체)",대구 달서구 장기로65길 11-5
오스템임플란트(주),1997년 01월 08일                                (업력 28년차),김해성,치과용 기기 제조업,-,"서울 강남구 테헤란로 142, 4층, 10층, 11층, 12층, 13층, 22층, 23층 (역삼동,아크플레이스)"
아진산업(주),1978년 05월 31일                                (업력 47년차),서중호,자동차 차체용 신품 부품 제조업,-,경북 경산시 진량읍 공단8로26길 40
(주)빗썸,2014년 01월 06일                                (업력 11년차),이재원,전자상거래 소매업,"매출액 1,358.4억 영업이익 - 148.7억 (2023년 기준) 전체)","서울 강서구 마곡중앙12로 3 (마곡동,오스템임플란트중앙연구소)"
(주)디알텍,2015년 02월 03일                                (업력 10년차),안성현,그 외 기타 의료용 기기 제조업,-,경기 성남시 중원구 둔촌대로541번길 29
(주)셀트리온,1991년 02월 27일                                (업력 34년차),기우성/김형기/서진석,의약용 화합물 및 항생물질 제조업,-,"서울 강남구 테헤란로 124, 15층, 16층 (역삼동,삼원빌딩)"
(주)이오테크닉스,1993년 12월 30일                                (업력 32년차),성규동/박종구,반도체 제조용 기계 제조업,-,경기 안양시 동안구 동편로 91
스탭스(주),1998년 09월 24일                                (업력 27년차),박천웅,상용 인력 공급 및 인사관리 서비스업,-,"서울 중구 동호로14길 7 (신당동,비에스빌딩)"
(주)뷰웍스,1999년 09월 18일                                (업력 26년차),김후식,그 외 기타 의료용 기기 제조업,-,경기 안양시 동안구 부림로170번길 41-3
제닉스(주),2010년 04월 23일                                (업력 15년차),배성관,반도체 제조용 기계 제조업,매출액 613억 영업이익 31.8억 (2023년 기준) 전체),충남 천안시 서북구 직산읍 부송로 165-33
(주)오토닉스,1990년 01월 19일                                (업력 35년차),박용진,그 외 기타 전자부품 제조업,"매출액 1,630.3억 영업이익 13억 (2023년 기준) 전체)","경기 성남시 중원구 둔촌대로80번길 3-15, 4층 (성남동,모란드림시티)"
(주)제노레이,2001년 04월 12일                                (업력 24년차),박병욱,그 외 기타 의료용 기기 제조업,-,"경기 성남시 중원구 둔촌대로80번길 3-15, 4층 (성남동,모란드림시티)"
(주)링크프라이스,2006년 05월 03일                                (업력 19년차),이병헌,데이터베이스 및 온라인정보 제공업,매출액 335.4억 영업이익 89.7억 (2023년 기준) 전체),"서울 금천구 가산디지털1로 171, 1112호 (가산동,가산 에스케이 브이원 센터)"
(주)엠제이플렉스,2005년 03월 24일                                (업력 20년차),김시출,상용 인력 공급 및 인사관리 서비스업,매출액 385.6억 영업이익 5.4억 (2023년 기준) 전체),"서울 구로구 디지털로26길 43, R동 1801호-1804호 (구로동,대륭포스트타워8차)"
(주)수성엔지니어링,1991년 01월 25일                                (업력 34년차),강병윤/박미례,건물 및 토목 엔지니어링 서비스업,"매출액 1,388.1억 영업이익 54.4억 (2023년 기준) 전체)",-
(주)미래아이엔씨,2000년 09월 14일                                (업력 25년차),박승운,광고 대행업,매출액 267.8억 영업이익 70.9억 (2023년 기준) 전체),"서울 금천구 가산디지털2로 144, 13층 (가산동,현대테라타워 가산디케이)"
