"회사명","제목","공고링크","지역","마감일","가까운역"
"아트랭크(주)","폰케이스 및 굿즈 생산원(UV 인쇄, 승화전사 인쇄, 레이저 커팅)","https://www.saramin.co.krundefined","서울 성동구","D-6","2뚝섬역 도보 1분 이내"
"(주)인텔리빅스","[인사총무팀] 경력 사원 정규직 채용","https://www.saramin.co.krundefined","서울 서초구","~01.19(일)","2방배역 도보 3분 이내"
"한국캐스팅(주)","[인천] 영업관리 경력사원 모집 공고","https://www.saramin.co.krundefined","인천 남동구","~02.16(일)","인천1동춘역 도보 7분 이내"
"(주)더넥스트제네레이션","[건강기능식품 이커머스] 브랜드 디자이너(경력)","https://www.saramin.co.krundefined","서울 금천구","D-4","17가산디지털단지역 도보 4분 이내"
"(주)에뛰드","(주)에뛰드 인플루언서 마케팅 어시스트(계약직) 모집","https://www.saramin.co.krundefined","서울 용산구","D-7","4신용산역 도보 1분 이내"
"키아광교코리아헤럴드국제어학원","2025 신학기를 함께 하실 부담임 선생님을 모십니다. (키아광교)","https://www.saramin.co.krundefined","경기 수원시 영통구","~01.17(금)","신분당광교중앙역 도보 12분 이내"
"서울제일내과의원","[상현역 내과] 원무과 1명 신입/경력 채용","https://www.saramin.co.krundefined","경기 용인시 수지구","~01.17(금)","신분당상현역 도보 1분 이내"
"대한광통신(주)","[대한광통신] 가공선 해외영업 정규직 채용 (미주)","https://www.saramin.co.krundefined","경기 안양시 동안구","~01.16(목)","4인덕원역 도보 12분 이내"
"세무법인예인 영등포","[세무법인예인 영등포] 세무기장 [ 2년차이상 ~ 4년차이하] 모집","https://www.saramin.co.krundefined","서울 영등포구 외","~01.10(금)","15신길역 도보 4분 이내"
"칠도관세사무소","[칠도 관세사] 관세사무원 채용 공고","https://www.saramin.co.krundefined","인천 연수구","~01.17(금)","인천1국제업무지구역 도보 4분 이내"
"(주)드림시스템","PLC 제어","https://www.saramin.co.krundefined","경기 수원시 권선구","~02.16(일)","수인분당고색역 도보 15분 이내"
"대한광통신(주)","[대한광통신] 광케이블 해외영업 정규직 채용","https://www.saramin.co.krundefined","경기 안양시 동안구","~01.16(목)","4인덕원역 도보 12분 이내"
"(주)아헬즈","[아헬즈] 신입 및 경력사원 채용(영업, 학술지원, 기술영업)","https://www.saramin.co.krundefined","경기 용인시 기흥구","~12.31(화)","수인분당에버라인기흥역 도보 12분 이내"
"(주)이로실업","의류디자이너 모집(신입/경력)","https://www.saramin.co.krundefined","서울 구로구 외","~12.30(월)","7남구로역 도보 12분 이내"
"(주)파파모빌리티","[파파크루(드라이버)모집] 프리미엄 이동 및 서비스 수행","https://www.saramin.co.krundefined","서울 용산구 외","~01.05(일)","2강변역 도보 3분 이내"
"(주)펀샤인","[옵타움 브랜드] 수출입 신입 및 경력 정직원 채용","https://www.saramin.co.krundefined","부산 해운대구","~01.12(일)","2센텀시티역 도보 12분 이내"
"진원생명과학(주)","인사&amp;총무 경력사원 채용","https://www.saramin.co.krundefined","서울 영등포구 외","오늘마감","5여의나루역 도보 7분 이내"
